ulice	cislo	majitel
Mírová	1244	Residomo
Mírová	1245	Residomo
Mírová	1246	Residomo
Mírová	1247	Residomo
Mírová	1436	Residomo
Mírová	1437	Residomo
Mírová	1438	Residomo
Mírová	1439	Residomo
Mládežnická	1259	Residomo
Mládežnická	1260	Residomo
Mládežnická	1261	Residomo
Mládežnická	1262	Residomo
Mládežnická	1263	Residomo
Mládežnická	1264	Residomo
V Nádvoří	1265	Residomo
V Nádvoří	1266	Residomo
V Nádvoří	1267	Residomo
V Nádvoří	1268	Residomo
Havířská	1288	Residomo
Havířská	1289	Residomo
Havířská	1290	Residomo
Havířská	1291	Residomo
Havířská	1292	Residomo
Havířská	1293	Residomo
Květinová	1269	Residomo
Květinová	1270	Residomo
Květinová	1271	Residomo
Květinová	1272	Residomo
Květinová	1273	Residomo
Květinová	1274	Residomo
Mírová	1255	Residomo
Mírová	1256	Residomo
Mírová	1257	Residomo
Mírová	1258	Residomo
Letní	1275	Residomo
Letní	1276	Residomo
Letní	1277	Residomo
Letní	1278	Residomo
Letní	1279	Residomo
Letní	1280	Residomo
Javorová	1281	Residomo
Javorová	1282	Residomo
Javorová	1283	Residomo
Javorová	1284	Residomo
Havířská	1081	Residomo
Havířská	1082	Residomo
Havířská	1083	Residomo
Havířská	1285	Residomo
Havířská	1286	Residomo
Havířská	1287	Residomo
Mírová	1193	Residomo
Mírová	1194	Residomo
Mírová	1195	Residomo
Mírová	1196	Residomo
Lipová	1197	Residomo
Lipová	1198	Residomo
Lipová	1199	Residomo
Lipová	1200	Residomo
Lipová	1201	Residomo
Lipová	1202	Residomo